"osm_type","osm_id","lon","lat","attr_type","weight","name","district"
"node",279872210,-61.0427632,13.8746259,"viewpoint",1.5,NA,"Soufriere"
"node",653293663,-60.8967735,14.0391282,"historic",1.5,"Old Dauphin","Gros Islet"
"node",1224753135,-61.0489948,13.8672,"viewpoint",1.5,NA,"Soufriere"
"node",1224753145,-61.0622086,13.8583602,"hotel",3,"Hummingbird Beach Resort","Soufriere"
"node",1224753146,-60.9975012,14.0064044,"viewpoint",1.5,NA,"Castries"
"node",1224753161,-61.0190631,13.963838,"viewpoint",1.5,NA,"Castries"
"node",1224782919,-60.9622752,14.0939255,"attraction",2,"Pigeon Is. interpretation Center","Gros Islet"
"node",1224782998,-60.9662412,14.0912729,"historic",1.5,"US Signaling Station","Gros Islet"
"node",1224783048,-60.9630332,14.0937952,"historic",1.5,"Soldiers Baracks","Gros Islet"
"node",1976743759,-61.048949,13.8327433,"guesthouse",1,"Jaco Pitons Villa","Soufriere"
"node",2258505696,-61.0618725,13.8281625,"viewpoint",1.5,"Sugar Beach","Soufriere"
"node",2326504666,-61.0550726,13.857905,"guesthouse",1,"Frenz","Soufriere"
"node",2326530340,-61.0589654,13.854145,"hotel",3,"Downtown Hotel","Soufriere"
"node",2609099751,-61.0022017,14.0207862,"hotel",3,"Casa del Vega","Castries"
"node",2621272580,-61.0612149,13.8484098,"viewpoint",1.5,"Soufriere","Soufriere"
"node",2631362168,-60.978443,14.0088162,"viewpoint",1.5,"View point","Castries"
"node",3265602461,-60.8892869,13.9045149,"viewpoint",1.5,"Mandele Lookout Point","Dennery"
"node",3381978707,-60.9720166,14.0552927,"hotel",3,"Apartment Espoir","Gros Islet"
"node",3382118985,-60.974372,14.058804,"hotel",3,"Windjammer Landing Resort","Gros Islet"
"node",3586258245,-60.8994913,14.0419218,"historic",1.5,NA,"Gros Islet"
"node",3586339495,-60.9571146,14.0439916,"guesthouse",1,"Riverstone Guest House","Gros Islet"
"node",3971776153,-61.0511296,13.7763571,"attraction",2,"Choiseul Petroglyph","Choiseul"
"node",3974837542,-61.0579844,13.7871745,"historic",1.5,"Morne Sion Wind Mill","Choiseul"
"node",3997925907,-60.9504934,14.0799439,"guesthouse",1,"Coral Reef Apartments","Gros Islet"
"node",3998268054,-60.898425,13.9187261,"guesthouse",1,"Kai Dormi","Dennery"
"node",4000049157,-61.0506815,13.7753867,"beach",2,"Choiseul village public beach","Choiseul"
"node",4003282224,-61.0091487,14.0083147,"hotel",3,"Sandals Regency La Toc Golf Resort & Spa","Castries"
"node",4003419053,-60.9311293,13.9317008,"historic",1.5,"Grand Riviere Monument","Dennery"
"node",4012078102,-61.0529703,13.8546047,"guesthouse",1,"De Residence Guest House","Soufriere"
"node",4013075191,-61.0374466,13.7595508,"beach",2,"River Doree Beach","Laborie"
"node",4013087389,-61.0289151,13.7614651,"guesthouse",1,"L'Escape","Laborie"
"node",4013332381,-61.0210809,13.7532377,"beach",2,"Piaye Beach","Laborie"
"node",4013384350,-61.0533364,13.8633352,"hotel",3,"La Haut Resort","Soufriere"
"node",4013459862,-61.0677571,13.7997032,"beach",2,"Anse L'Ivrogne Beach","Choiseul"
"node",4014369931,-61.0607925,13.8448375,"hotel",3,"Stonefield Estate Resort","Soufriere"
"node",4017283936,-60.9489082,13.7303199,"hotel",3,"Clear Sky (Kabran) Hotel","Vieux Fort"
"node",4019718879,-61.0503137,13.8334385,"hotel",3,"Rabot Hotel from Hotel Chocolat","Soufriere"
"node",4023818737,-61.0228126,13.9643184,"hotel",3,"The Cove","Castries"
"node",4027985616,-61.007218,13.7703539,"viewpoint",1.5,"Morne Le Blanc Heritage Site","Laborie"
"node",4031158000,-61.0501517,13.7784035,"viewpoint",1.5,NA,"Choiseul"
"node",4031518715,-61.0558604,13.8582168,"historic",1.5,"Soufriere Coconut Factory","Soufriere"
"node",4031557295,-61.0522812,13.8577757,"guesthouse",1,"Guest House","Soufriere"
"node",4031588825,-60.990046,14.0099864,"historic",1.5,"Sir John Compton Monument","Castries"
"node",4032184478,-60.9617874,14.0208858,"attraction",2,"Forestry Zoo","Castries"
"node",4032186190,-60.9578317,14.0158735,"hotel",3,"Unique Vacations Limited Call Centre","Castries"
"node",4032206469,-60.9909987,14.0088453,"historic",1.5,NA,"Castries"
"node",4153687589,-61.0611481,13.794983,"hotel",3,"Kaye Mango","Choiseul"
"node",4160134410,-61.0620575,13.794762,"hotel",3,"Tet Rouge Resort","Choiseul"
"node",4331148489,-60.9244963,13.8990621,"attraction",2,"Treetop Adventure Park","Dennery"
"node",4529022580,-61.0445449,13.9381939,"viewpoint",1.5,NA,"Anse-la-Raye"
"node",4632332497,-60.8996874,13.8322644,"guesthouse",1,"Zamaca B&B","Micoud"
"node",4732800096,-61.0519409,13.8676453,"hotel",3,"Samfi Gardens","Soufriere"
"node",4734959921,-60.982181,14.0178407,"historic",1.5,"Chez ma gd mere maternelle","Castries"
"node",4783794622,-60.942429,13.7410223,"guesthouse",1,"Hewanorra Gardens","Vieux Fort"
"node",4816828022,-60.9997644,14.0007357,"guesthouse",1,"Morne Seaview Apartments","Castries"
"node",4903000021,-60.9477481,14.0731619,"hotel",3,"Harbor Club","Gros Islet"
"node",4936313231,-60.9562645,14.0678047,"historic",1.5,"WWII Old U.S. Military Pillars","Gros Islet"
"node",5001859981,-61.0251631,13.9717663,"viewpoint",1.5,NA,"Castries"
"node",5001864597,-61.0275074,13.9701348,"viewpoint",1.5,NA,"Castries"
"node",5090847320,-61.0655291,13.8100249,"viewpoint",1.5,"Gros Piton Viewpoint","Soufriere"
"node",5178631921,-61.0568357,13.8179171,"viewpoint",1.5,NA,"Soufriere"
"node",5204823447,-60.9705873,13.7474623,"guesthouse",1,NA,"Vieux Fort"
"node",5206646917,-60.9098004,13.948705,"historic",1.5,"Rainbow Bridge","Dennery"
"node",5207025547,-60.9907645,14.0087996,"historic",1.5,"Sir William Arthur Lewis","Castries"
"node",5214496347,-60.9432587,13.7760187,"guesthouse",1,"caco villa","Micoud"
"node",5214888561,-61.0426087,13.9393133,"guesthouse",1,NA,"Anse-la-Raye"
"node",5215421853,-61.0420778,13.939987,"guesthouse",1,NA,"Anse-la-Raye"
"node",5216434833,-60.9433006,13.7598746,"guesthouse",1,"Aupic Paradise Guest House & Apartments","Vieux Fort"
"node",5216471253,-61.0583567,13.8561031,"guesthouse",1,"Chez Camile","Soufriere"
"node",5216519176,-61.042062,13.9442752,"guesthouse",1,NA,"Anse-la-Raye"
"node",5216661721,-61.036107,13.9433365,"guesthouse",1,"Tropical paradise view","Anse-la-Raye"
"node",5216661722,-61.0399002,13.944235,"guesthouse",1,"Bertilder's","Anse-la-Raye"
"node",5216684069,-61.0533838,13.8585637,"guesthouse",1,"home hotel","Soufriere"
"node",5217233709,-61.0428098,13.940115,"guesthouse",1,NA,"Anse-la-Raye"
"node",5217847577,-61.0438082,13.9425628,"viewpoint",1.5,"Viewing Point","Anse-la-Raye"
"node",5218247466,-61.0686026,13.8615363,"guesthouse",1,"BananaQuit Guest House","Soufriere"
"node",5218476226,-60.9864861,14.002045,"guesthouse",1,"caribbean bargain","Castries"
"node",5218720055,-61.0690961,13.861807,"guesthouse",1,"Villa La Bagatelle","Soufriere"
"node",5218720066,-61.0532583,13.8664874,"guesthouse",1,"Crystal’s","Soufriere"
"node",5218720070,-61.0698548,13.8618636,"guesthouse",1,"La Batterie","Soufriere"
"node",5218720072,-61.0693307,13.8622884,"guesthouse",1,"Tamarind House","Soufriere"
"node",5219871125,-60.9865467,14.0060258,"guesthouse",1,"Richard House for rent","Castries"
"node",5219932733,-60.9857907,14.0089075,"guesthouse",1,"julian paul huggins","Castries"
"node",5219976853,-60.906718,13.9340536,"guesthouse",1,"Sea Breeze","Dennery"
"node",5220147410,-60.8955946,13.9252852,"historic",1.5,"Fond'or Historical Park","Dennery"
"node",5220454809,-61.0515084,13.8579064,"guesthouse",1,NA,"Soufriere"
"node",5228365411,-61.0621841,13.8459076,"guesthouse",1,"Belle Coco","Soufriere"
"node",5230660809,-60.9702489,13.7396958,"guesthouse",1,NA,"Vieux Fort"
"node",5230736745,-61.036921,13.8535913,"attraction",2,"Toraille Atv Park and Trail","Soufriere"
"node",5230982853,-61.0438249,13.8544458,"guesthouse",1,"the great stay guest hous","Soufriere"
"node",5239910742,-60.8912183,13.9095098,"attraction",2,"Dennery Community Park","Dennery"
"node",5241056829,-61.0549882,13.8199649,"attraction",2,"Tet Paul Nature trail","Soufriere"
"node",5242787667,-60.9877619,14.0074014,"historic",1.5,"Derick Walcott Building","Castries"
"node",5250516422,-61.0568632,13.9265455,"beach",2,"Anse Cochon Beach","Canaries"
"node",5278249621,-60.89848,13.8196044,"guesthouse",1,"Heidi’s Place","Micoud"
"node",5604492521,-60.926738,14.0910938,"attraction",2,"Aquaholics Kite surfing School","Gros Islet"
"node",6144148257,-61.0616985,13.8283064,"hotel",3,"Sugar Beach, A Viceroy Resort","Soufriere"
"node",6167221187,-61.0661358,13.9065292,"viewpoint",1.5,NA,"Canaries"
"node",6167221692,-61.0456949,13.9169944,"viewpoint",1.5,"Horizon","Canaries"
"node",6169528486,-60.9199685,14.0910961,"viewpoint",1.5,"Gorgona forest","Gros Islet"
"node",6169528585,-60.9187124,14.0968906,"viewpoint",1.5,"Cactus forest","Gros Islet"
"node",6178540490,-60.8930982,13.918213,"viewpoint",1.5,"On coast","Dennery"
"node",6178540491,-61.0506007,13.8655254,"viewpoint",1.5,"On pitons","Soufriere"
"node",6179857755,-61.0506512,13.8655843,"viewpoint",1.5,NA,"Soufriere"
"node",6182324792,-60.9965464,14.0065743,"viewpoint",1.5,NA,"Castries"
"node",6288431982,-61.0778258,13.8641129,"attraction",2,NA,"Soufriere"
"node",6305850999,-61.0757814,13.8705979,"historic",1.5,NA,"Soufriere"
"node",6322922716,-60.9576376,13.9269999,"attraction",2,"Barre de L'Isle rainforest trail","Dennery"
"node",6331223500,-60.9939977,13.9008413,"attraction",2,"Millet Bird Sanctuary Trail","Anse-la-Raye"
"node",6335020836,-60.961707,14.0205291,"attraction",2,"Union Trail","Castries"
"node",6406228898,-60.9907468,14.008889,"historic",1.5,"Hon Derek Alton Walcott","Castries"
"node",6545690679,-61.0678905,13.8616238,"guesthouse",1,"Villa Grand Piton","Soufriere"
"node",6545702303,-61.0682144,13.8623128,"guesthouse",1,"Villa Mabouya","Soufriere"
"node",6546011768,-61.0233959,13.7601352,"guesthouse",1,"Breezy Isle Villa","Laborie"
"node",6788437488,-60.9460126,14.0754346,"guesthouse",1,"Windford Apartments","Gros Islet"
"node",6837300825,-61.062633,13.9064096,"attraction",2,"Adeline's Art Cafe","Canaries"
"node",6881350580,-61.0636775,13.7969327,"guesthouse",1,"7th heavens kitchen & cottage","Choiseul"
"node",6904167349,-61.0255117,13.7544047,"beach",2,"Balembouche beach","Laborie"
"node",6904260120,-61.026525,13.75666,"historic",1.5,"Sugar mill","Laborie"
"node",6916893893,-60.9862337,14.0173114,"guesthouse",1,"Dormir à L'aise","Castries"
"node",6970000602,-60.8992762,13.8325752,"attraction",2,"Fond Bay Gardens","Micoud"
"node",6970000603,-60.8990567,13.8325039,"hotel",3,"Fond Bay Suites and Villa","Micoud"
"node",7086503917,-61.0439859,13.937796,"attraction",2,"The Melting Pot","Anse-la-Raye"
"node",7103241279,-61.0681587,13.8619015,"guesthouse",1,"Cashew Villa","Soufriere"
"node",7126432810,-61.0455467,13.9353955,"viewpoint",1.5,NA,"Canaries"
"node",7201046676,-61.0349626,13.8347448,"hotel",3,"Tony & Aldona's Retreat","Soufriere"
"node",7280289336,-61.0781078,13.8638862,"dive_centre",1,"Scuba St Lucia","Soufriere"
"node",7921003297,-60.9475484,14.1036925,"beach",2,"Anse du Cap","Gros Islet"
"node",7922926148,-60.9092572,13.767246,"beach",2,"Honeymoon Beach","Micoud"
"node",8307144854,-60.9303866,14.0736444,"historic",1.5,NA,"Gros Islet"
"node",8960155391,-60.9388853,14.075209,"guesthouse",1,"Keepcool Guesthouse","Gros Islet"
"node",8996119016,-60.985104,14.0098315,"guesthouse",1,"chauteau blanc","Castries"
"node",9385512257,-60.9533272,13.7296859,"historic",1.5,"Independence Square Monument","Vieux Fort"
"node",9385639518,-60.9721116,13.7296327,"historic",1.5,"El Pirata Shipwreck","Vieux Fort"
"node",9385639559,-60.9478136,13.7165305,"viewpoint",1.5,NA,"Vieux Fort"
"node",9385691464,-60.9311195,13.8056756,"historic",1.5,"Desruisseaux Cross","Micoud"
"node",9405903176,-60.9575931,13.7543534,"viewpoint",1.5,NA,"Vieux Fort"
"node",9559231587,-61.0586123,13.9095031,"viewpoint",1.5,NA,"Canaries"
"node",9900298018,-60.9875866,14.0112781,"guesthouse",1,"Garry's Guest House","Castries"
"node",9993906617,-60.9949195,14.0148374,"dive_centre",1,"Dive Fair Haven Snorkeling","Castries"
"node",10017170962,-60.9148429,13.8092316,"attraction",2,"Oldest Baobab Tree","Micoud"
"node",10233621317,-61.0671778,13.7907133,"guesthouse",1,"The Pink House","Choiseul"
"node",10596853105,-61.0310628,13.9622706,"guesthouse",1,"Marigot bah house","Castries"
"node",10600253261,-61.0313068,13.9621692,"guesthouse",1,"Treehouse Marigot Bay","Castries"
"node",10649346505,-60.9211695,13.9856666,"viewpoint",1.5,"Rainforest Adventures","Gros Islet"
"node",10673421405,-61.0488652,13.8348515,"viewpoint",1.5,"Big Nature","Soufriere"
"node",10731803005,-60.9664256,14.0577351,"guesthouse",1,"Melanie's airbnb","Gros Islet"
"node",10761210442,-61.0458186,13.8374695,"viewpoint",1.5,NA,"Soufriere"
"node",11144447906,-61.0265479,13.9558388,"attraction",2,"St. Lucia Bamboo Rafting","Anse-la-Raye"
"node",11144646205,-61.0683517,13.903652,"viewpoint",1.5,NA,"Canaries"
"node",11144923905,-61.0603525,13.8590363,"guesthouse",1,"Heaven Guest House","Soufriere"
"node",11146191705,-61.047526,13.8337592,"attraction",2,"Project Chocolate","Soufriere"
"node",11331356087,-60.9615603,13.9557502,"guesthouse",1,NA,"Castries"
"node",11363184646,-60.9965415,13.9997852,"attraction",2,"The Morne Museum","Castries"
"node",11363184651,-60.9937204,13.9969849,"historic",1.5,"Sir William Arthur Lewis","Castries"
"node",11375521498,-60.9535917,14.0824937,"guesthouse",1,"Alexander's Guest House","Gros Islet"
"node",11467283969,-61.0601103,13.8458028,"viewpoint",1.5,"UNESCO World Heritage","Soufriere"
"node",11476401278,-61.0721401,13.8725221,"viewpoint",1.5,NA,"Soufriere"
"node",11575327951,-61.0567058,13.8472039,"attraction",2,"Morne Coubaril Historical Adventure Park","Soufriere"
"node",11591919594,-61.0591534,13.8570323,"guesthouse",1,"River Breeze Villa","Soufriere"
"node",11902398169,-61.0200078,13.9627957,"attraction",2,"MARIGOT VIEW","Castries"
"node",11902398170,-61.0594114,13.8302375,"attraction",2,"The BEST VIEW OF  CARRIBEAN","Soufriere"
"node",12079568992,-61.0556656,13.8201691,"viewpoint",1.5,NA,"Soufriere"
"node",12079568997,-61.0566768,13.8167831,"viewpoint",1.5,NA,"Soufriere"
"node",12079569001,-61.0571261,13.8178028,"viewpoint",1.5,NA,"Soufriere"
"node",12079569003,-61.0560907,13.8188394,"viewpoint",1.5,NA,"Soufriere"
"node",12541166631,-61.063589,13.8392726,"hotel",3,"Paradise Hotel","Soufriere"
"node",12786139134,-60.8997723,14.0661437,"attraction",2,"Mermaid pool","Gros Islet"
"node",12786140445,-60.8984527,14.0656104,"beach",2,"Pebble beach","Gros Islet"
"node",13634890001,-61.0492436,13.8487863,"viewpoint",1.5,NA,"Soufriere"
"node",13634891001,-61.0465295,13.8300518,"viewpoint",1.5,NA,"Soufriere"
"node",13634891101,-61.0491,13.8299652,"viewpoint",1.5,NA,"Soufriere"
"node",13634892102,-61.0472637,13.8312991,"viewpoint",1.5,NA,"Soufriere"
"node",13643234576,-61.0623379,13.8581076,"dive_centre",1,NA,"Soufriere"
"node",13723072587,-60.996447,14.0147445,"attraction",2,"Saint Lucia","Castries"
"way",26191302,-60.9522432,14.0686266,"hotel",3,"Bay Gardens Hotel","Gros Islet"
"way",26191317,-60.9532702,14.0686372,"hotel",3,"Bay Gardens Inn","Gros Islet"
"way",28338101,-60.9325776,13.7249758,"beach",2,NA,"Vieux Fort"
